file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
Run067.mca,599.04,09/21/2026 00:17:51,10.003343999999998,9.84 x 1.0166,51477,51394,1024,,128.11632912097386,258.6326943845538,250,0.8718213836858808,0.03754334188295593,0.19454076891260813,-0.013358598536827566,0.0003252588250950544,0.013358598536827566,0.0003252588250950544,1.6608638928703157,0.06408890449003658,74.85815201670718,1.8226668393856413,1-sigma propagated from slope standard error,Run067_analysis.png,ok
Run068.mca,599.28,09/21/2026 00:35:38,10.003343999999998,9.84 x 1.0166,62910,62837,1024,,127.59216701148156,261.7776670415076,257,0.8650834947084679,0.037036922094530605,0.1932030221244407,-0.012531673729710318,0.0003099149435220204,0.012531673729710318,0.0003099149435220204,1.7622849478676912,0.06152761475715331,79.79780048288218,1.973441964994851,1-sigma propagated from slope standard error,Run068_analysis.png,ok
Run069.mca,598.92,09/21/2026 00:52:27,10.003343999999998,9.84 x 1.0166,77108,76970,1024,,135.4545986538659,272.26090923135337,262,0.8847628780981905,0.028557314754168787,0.1696378094828035,-0.011811438704180308,0.0002643619104499213,0.011811438704180308,0.0002643619104499213,1.9263093788914725,0.05490180118113981,84.66369127802184,1.8949304765116208,1-sigma propagated from slope standard error,Run069_analysis.png,ok
Run070.mca,597.9,09/21/2026 01:09:59,10.003343999999998,9.84 x 1.0166,38330,38196,1024,,142.26870607726568,280.1233408737377,264,0.7953517618568066,0.03501127121118576,0.18782580446649202,-0.00923429504920567,0.00028938597705164285,0.00923429504920567,0.00028938597705164285,0.8520151932246629,0.06220079566973448,108.29196973579694,3.393672966030713,1-sigma propagated from slope standard error,Run070_analysis.png,ok
Run071.mca,596.82,09/21/2026 01:24:25,10.003343999999998,9.84 x 1.0166,43701,43469,1024,,135.9787607633582,254.43939750861554,227,0.7697829999704144,0.020572774966198387,0.14406819245416053,-0.007635988346805802,0.00027839314364909624,0.007635988346805802,0.00027839314364909624,0.7043061299864725,0.05517970065888682,130.95881693144653,4.774501358342512,1-sigma propagated from slope standard error,Run071_analysis.png,ok
Run072.mca,599.46,09/21/2026 02:41:09,10.003343999999998,9.84 x 1.0166,14204,14192,1024,,124.97135646402013,215.65140140618615,174,0.6889627052983432,0.08274739200327373,0.2893260634302689,-0.01626116680214103,0.0008330975503619044,0.01626116680214103,0.0008330975503619044,0.7054305966702982,0.14357132158451777,61.49620209715423,3.150594046975416,1-sigma propagated from slope standard error,Run072_analysis.png,ok
Run073.mca,597.54,09/21/2026 11:57:14,10.003343999999998,9.84 x 1.0166,2465,2455,1024,,121.82638380706639,189.4432959315717,130,0.1703888902164098,0.22145131762353926,0.47424834681989886,-0.010842189366966062,0.0021146020358113493,0.010842189366966062,0.0021146020358113493,-1.9124433332048691,0.33172380468655455,92.23229424924047,17.988488356533033,1-sigma propagated from slope standard error,Run073_analysis.png,ok
Run074.mca,599.88,09/21/2026 12:10:14,10.003343999999998,9.84 x 1.0166,5257,5256,1024,,124.44719435452784,202.54734866887893,150,0.3713195279440815,0.1503445484846591,0.3903539823958373,-0.013129438212017713,0.0014042886200895403,0.013129438212017713,0.0014042886200895403,-0.7529979254947413,0.2317990255638735,76.16472112909403,8.146369205346454,1-sigma propagated from slope standard error,Run074_analysis.png,ok
Run075.mca,599.76,09/21/2026 12:21:39,10.003343999999998,9.84 x 1.0166,7928,7925,1024,,127.0680049019893,211.45810453024785,162,0.5442296899914527,0.07642956336851822,0.27818147477972843,-0.012324435845441671,0.0008916387968509893,0.012324435845441671,0.0008916387968509893,-0.42376672431917556,0.1524958552968803,81.13961665595112,5.870226522281031,1-sigma propagated from slope standard error,Run075_analysis.png,ok
Run076.mca,599.58,09/21/2026 12:34:34,10.003343999999998,9.84 x 1.0166,10962,10954,1024,,128.11632912097386,222.4655088295859,181,0.6124437138168246,0.08766869034741104,0.2977385241903488,-0.01359067447143772,0.000808069652371711,0.01359067447143772,0.000808069652371711,0.08021292843261785,0.1433656823427603,73.57986552482062,4.374886359110122,1-sigma propagated from slope standard error,Run076_analysis.png,ok
Run077.mca,599.04,09/21/2026 12:56:00,10.003343999999998,9.84 x 1.0166,3188,3183,1024,,133.88211232538904,193.1124306980177,114,0.20530308463187907,0.18858629336877006,0.4381254452212919,-0.01279643200905523,0.002378936821900622,0.01279643200905523,0.002378936821900622,-1.3257205882371543,0.3911082450651977,78.14678336057761,14.52797626072758,1-sigma propagated from slope standard error,Run077_analysis.png,ok
