file,date,time,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq
csd_1747820281,5/21/2025,9:38:04,6.45E-06,46.195,1.620972466,4.15E-05,66.333,3.044965573,0.000179811,71.119,3.581903542,0.000660204,76.66,4.367109445,3.72E-05,78.357,4.568592216,0.000515761,83.681,5.200704339,0.000142343,107.943,8
csd_1747820966,5/21/2025,9:49:29,7.58E-06,46.981,1.672134349,5.99E-05,66.445,3.051777599,0.000280118,70.398,3.458813487,1.60E-05,71.838,3.704652155,0.000893027,76.567,4.356067666,0.000595828,83.771,5.21138993,0.000139452,107.607,8
csd_1747821273,5/21/2025,9:54:36,7.31E-06,46.981,1.672134349,5.56E-05,66.114,3.031645628,0.00023355,70.916,3.547247119,0.000241733,71.122,3.582415706,0.000764469,76.662,4.367346902,0.000510317,83.683,5.200941796,0.000109627,106.994,8
csd_1747823028,5/21/2025,10:23:51,5.76E-06,46.981,1.672134349,5.65E-06,65.782,3.011452835,7.27E-05,66.774,3.071787927,0.000284175,71.224,3.599829279,1.62E-05,72.041,3.739308579,0.000456597,84.032,5.242378147,0.000124843,107.335,8
csd_1747823785,5/21/2025,10:36:28,5.47E-06,48.21,1.752131745,1.75E-05,65.672,3.004762451,8.42E-05,66.446,3.051838421,8.90E-05,66.666,3.065219188,1.61E-06,74.044,4.056514908,0.000505314,83.597,5.190731119,0.000114204,107.269,8
csd_1747824798,5/21/2025,10:53:21,8.06E-06,46.513,1.641671549,6.13E-05,66.886,3.078599954,0.000262511,71.329,3.617755015,0.000719278,76.665,4.367703089,3.83E-05,78.269,4.558144081,0.000474475,83.599,5.190968577,0.000118428,107.679,8
csd_1747825135,5/21/2025,10:58:57,8.88E-06,47.289,1.692182516,6.05E-05,66.112,3.031523984,0.000250686,71.017,3.56448997,1.41E-05,71.733,3.686726419,0.000760855,76.373,4.33303428,0.000510011,83.942,5.231692555,0.000126479,107.74,8
csd_1747826324,5/21/2025,11:18:46,4.58E-06,46.98,1.672069257,3.99E-05,66.003,3.024894423,3.75E-05,66.554,3.058407161,0.000199278,71.018,3.564660691,0.000675446,76.661,4.367228174,0.000500147,83.682,5.200823067,4.83E-05,106.376,8
csd_1747827335,5/21/2025,11:35:38,5.06E-06,47.446,1.702401875,4.10E-06,66.115,3.031706449,2.45E-06,70.296,3.441399915,3.74E-05,76.281,4.32211123,3.92E-05,76.472,4.344788431,9.19E-05,83.859,5.221838065,0.000243737,107.541,8
csd_1747828660,5/21/2025,11:57:43,4.35E-06,46.197,1.621102649,4.91E-05,66.776,3.071909571,0.000205736,71.328,3.617584294,0.000636351,76.759,4.378863596,2.01E-05,78.361,4.569067131,0.000489689,83.51,5.180401714,0.000144332,107.405,8
csd_1747828999,5/21/2025,12:03:22,5.35E-06,46.825,1.661980082,4.62E-05,66.666,3.065219188,0.000200848,70.71,3.512078532,0.000604833,76.472,4.344788431,2.43E-05,78.733,4.613234244,0.000449215,83.859,5.221838065,0.000129633,107.405,8
csd_1747829758,5/21/2025,12:16:01,5.84E-06,46.354,1.631322007,4.63E-05,66.884,3.078478311,0.000206974,71.019,3.564831413,0.000198127,71.224,3.599829279,0.000569001,76.757,4.378626138,0.000428743,83.683,5.200941796,0.000108162,106.72,8
