file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
119_101_74.33_270A.mca,600.0,05/12/2015 11:35:08,15.495793,14.27 x 1.0859,793579,838514,1024,119.72973536909724,122.35054591655869,199.92653812141748,149,0.9629773651803291,0.0014478052927086006,0.038308006002687155,-0.008607518605363209,0.00013920182362569104,0.008607518605363209,0.00013920182362569104,3.123331393808877,0.022649257336629373,116.17750083943075,1.8788364826824095,1-sigma propagated from slope standard error,119_101_74.33_270A_analysis.png,ok
120.61_102.99_93.48_270.mca,600.0,05/12/2015 10:31:30,15.495793,14.27 x 1.0859,663492,740473,1024,105.57735841280544,117.63308693112808,198.8782139024329,156,0.9638261465218156,0.002073054507283875,0.04582550919621905,-0.009956728134621713,0.0001554369709258175,0.009956728134621713,0.0001554369709258175,3.0692696286058685,0.024870892985240294,100.4345992457886,1.5679096257163092,1-sigma propagated from slope standard error,120.61_102.99_93.48_270_analysis.png,ok
120_102_84.33_270.mca,600.0,05/12/2015 11:54:34,15.495793,14.27 x 1.0859,580214,620113,1024,105.05319630331314,117.63308693112808,199.92653812141748,158,0.953111420482983,0.0025644770625495097,0.05096425191845591,-0.009550240739091546,0.00016959526443387408,0.009550240739091546,0.00016959526443387408,2.8912138508867127,0.02723182931020266,104.70940234069153,1.859452474951089,1-sigma propagated from slope standard error,120_102_84.33_270_analysis.png,ok
122_105_102_270.mca,600.0,05/12/2015 10:11:39,15.495793,14.27 x 1.0859,563243,627184,1024,104.00487208432857,112.39146583620519,199.92653812141748,168,0.9692948435216128,0.0029472129907190995,0.054614298319842276,-0.011999177194008245,0.00016575824082114998,0.011999177194008245,0.00016575824082114998,3.0723907909595485,0.026225349539155764,83.33904765564652,1.1512567660062556,1-sigma propagated from slope standard error,122_105_102_270_analysis.png,ok
122_105_102_270_2.mca,600.0,05/12/2015 13:45:33,15.495793,14.27 x 1.0859,507185,561425,1024,107.1498447412823,115.01227638366663,199.92653812141748,163,0.9644053458119985,0.0033534832386956826,0.05826784203635733,-0.012221684088410102,0.0001850464254156565,0.012221684088410102,0.0001850464254156565,3.044668992642272,0.029494392772768968,81.821784360169,1.238849622314987,1-sigma propagated from slope standard error,122_105_102_270_2_analysis.png,ok
122_106_109_270.mca,600.0,05/12/2015 13:02:18,15.495793,14.27 x 1.0859,413619,467707,1024,91.94914356600592,102.4323857558517,199.40237601192518,186,0.9631641372067765,0.006335016515026769,0.08002421752313547,-0.014461286696700451,0.00020848907195966673,0.014461286696700451,0.00020848907195966673,2.9046755093000196,0.03200706240859724,69.15014002372031,0.996940923847109,1-sigma propagated from slope standard error,122_106_109_270_analysis.png,ok
