Z (cm)	Inj(185A)	Mid(-146)	Ext(152)	Sextupoles(460)	Sum(185+152+-146)
-20	33909.35761	-3604.566711	1595.561217	-0.232862082	31900.11926
-19	33064.01823	-3829.804966	1667.206809	0.123304786	30901.54338
-18	32059.06915	-4071.58455	1741.703098	-0.393651818	29728.79405
-17	30912.06066	-4329.980059	1820.477575	-1.010172529	28401.548
-16	29657.60906	-4606.094417	1906.818954	0.193634777	26958.52724
-15	28324.37574	-4906.050228	1998.082957	-0.74607829	25415.66239
-14	26941.67406	-5226.982379	2098.954106	-0.233770245	23813.41201
-13	25534.66608	-5571.440254	2208.180155	-0.633184838	22170.77279
-12	24128.47931	-5935.894057	2329.3596	0.687440025	20522.63229
-11	22738.91559	-6321.538411	2460.255878	0.567326837	18878.20038
-10	21377.44655	-6725.131805	2600.514812	-1.990759425	17250.8388
-9	20060.46439	-7136.587501	2756.503149	-1.421840837	15678.9582
-8	18794.29579	-7553.187227	2926.671011	-0.307569779	14167.472
-7	17583.48825	-7966.385307	3111.089765	0.920132035	12729.11284
-6	16429.41271	-8371.479473	3307.66004	-0.999710017	11364.59356
-5	15339.16955	-8754.83793	3522.76299	-0.964288854	10106.13032
-4	14313.61516	-9106.503578	3757.403054	0.837548925	8965.352189
-3	13348.1301	-9420.945767	4008.770225	-0.09566215	7935.858892
-2	12447.48347	-9683.069483	4284.046775	1.932216272	7050.392974
-1	11602.9363	-9891.438382	4577.650149	-0.592304525	6288.555757
0	10819.15454	-10032.60906	4898.225847	-0.798699829	5683.972633
1	10089.86326	-10104.74251	5245.361069	-1.817293719	5228.664532
2	9414.879746	-10102.67795	5624.455898	-0.775645347	4935.882051
3	8791.530409	-10027.15901	6036.924835	1.700864146	4802.997098
4	8211.82291	-9884.371245	6482.592232	1.561857805	4811.605754
5	7673.513878	-9679.915955	6964.124251	-1.121094075	4956.60108
6	7180.561414	-9414.423815	7491.327484	0.51419807	5257.979282
7	6724.279952	-9101.226889	8062.537614	0.994025024	5686.584702
8	6304.17886	-8750.044484	8681.713463	1.504639769	6237.352479
9	5916.809287	-8371.760036	9350.922251	1.042479865	6897.013982
10	5558.976672	-7977.97935	10071.26921	-1.649876295	7650.616652
11	5234.647665	-7571.958234	10849.32781	-0.505255106	8511.511988
12	4935.543412	-7167.859961	11677.14517	-1.870056516	9442.958568
13	4664.924189	-6769.08904	12557.2301	-0.985365994	10452.07989
14	4418.274163	-6382.839084	13479.22418	-0.160194263	11514.49907
15	4192.703639	-6013.45128	14431.46894	-0.018923534	12610.70237
16	3986.22022	-5664.135631	15401.51102	-0.510985418	13723.08463
17	3796.450431	-5332.776714	16368.08686	-0.566400156	14831.19418
18	3622.261433	-5018.388582	17313.67561	1.112447718	15918.66091
19	3456.531015	-4724.339356	18212.91858	-0.004373016	16945.10586
20	3300.597913	-4444.70793	19047.11952	-0.051030112	17902.95847
21	3151.874058	-4179.709421	19798.19179	-0.065077736	18770.29135
22	3009.08464	-3928.476967	20450.43073	-0.156805026	19530.8816
23	2872.009461	-3689.35187	20989.84428	0.14320968	20172.64508
24	2739.94717	-3463.284892	21408.54946	0.249746232	20685.46148
25	2613.139813	-3250.101423	21699.4602	0.16744822	21062.66604
26	2491.599333	-3049.67015	21860.87894	0.144830098	21302.95295
27	2375.70895	-2861.692784	21890.74208	0.132697811	21404.89094
28	2265.403729	-2686.087682	21792.13673	0.126561222	21371.57934
29	2161.089994	-2522.663435	21569.36754	0.116444266	21207.91054
30	2062.057858	-2370.615851	21231.49314	0.125176457	20923.06033
31	1968.968196	-2229.922963	20787.06767	0.095573856	20526.20848
32	1881.115711	-2099.585359	20249.70151	0.093840794	20031.32571
33	1798.442212	-1979.125999	19632.69839	0.082007076	19452.09661
34	1721.159924	-1868.14782	18949.66604	0.076757618	18802.7549
35	1648.277733	-1765.547463	18217.92615	0.072369418	18100.72879
36	1579.652796	-1670.775657	17451.91075	0.060332047	17360.84822
37	1515.359747	-1583.400816	16664.6376	0.056453928	16596.65299
