input_row,injection_A,center_A,extraction_A,sextupole_A,Bres_T,volume_cm3,defined_zinj_cm,defined_zextr_cm,defined_rmax_cm,actual_zinj_cm,actual_zextr_cm,actual_rmax_cm
1,119.0,-80.0,91.0,430.0,0.643,544.0683286443939,-24.0,27.0,7.199999999999999,-3.6456415344412663,11.944424937796692,3.656264343917555
1,119.0,-80.0,91.0,430.0,1.0,1571.9004274785484,-24.0,27.0,7.199999999999999,-8.212261031428064,17.9924286671103,4.971142733848668
2,185.0,-153.0,153.0,440.0,0.643,310.6143953783667,-25.0,27.0,7.199999999999999,-1.0297831531493515,8.608046889000272,3.4312619432822697
2,185.0,-153.0,153.0,440.0,1.0,1027.4759011166525,-25.0,27.0,7.199999999999999,-5.039864527969322,12.38533245647282,4.866438694940718
3,185.0,-146.0,153.0,460.0,0.643,237.36191933032921,-25.0,27.0,7.199999999999999,-1.0297831531493515,7.827291129659092,3.2069188671117796
3,185.0,-146.0,153.0,460.0,1.0,913.6977466865634,-25.0,27.0,7.199999999999999,-4.246536466489135,12.38533245647282,4.6534218769384985
4,185.0,-140.0,153.0,400.0,0.643,206.74134102388763,-25.0,27.0,7.199999999999999,-0.21866374296138166,7.039864527969324,3.2069188671117796
4,185.0,-140.0,153.0,400.0,1.0,986.1128929589667,-25.0,27.0,7.199999999999999,-4.246536466489135,11.649217583635842,4.971142733848668
