Instructions:,,INJ,MID,EXT,SEXT (460A),Sum (G),Z,Sum (T),,,,,Originals:,Inj(185A),Mid(-146),Ext(152),Sextupoles(460),Sum(185+152+-146),,,Becr (18 GHz),Becr (28 GHz),,,
,,542.3412475,-28.11408923,19.06727205,-0.011583606,533.2828467,-67,0.053328285,,,,,,843.1355528,-51.30821285,31.84863024,-0.011583606,823.6643866,,,0.64,1,,,
,,634.994948,-32.97405739,22.33996836,-0.014606327,624.3462526,-66,0.062434625,,,,,,987.17702,-60.17765474,37.31511199,-0.014606327,964.2998709,,,0.64,1,,,
,,743.0709616,-38.64927466,26.16068894,-0.018356764,730.5640191,-65,0.073056402,,,,,,1155.194352,-70.53492625,43.69697494,-0.018356764,1128.338044,,,0.64,1,,,
,,852.6455949,-44.40372551,30.03451031,-0.022325682,838.254054,-64,0.083825405,,,,,,1325.541471,-81.03679906,50.1675337,-0.022325682,1294.64988,,,0.64,1,,,
,,1030.949785,-53.79198121,36.34363562,-0.036314542,1013.465125,-63,0.101346513,,,,,,1602.737061,-98.17036571,60.70585291,-0.036314542,1565.236234,,,0.64,1,,,
,,1185.303194,-62.15852986,41.94470415,-0.049501224,1165.039867,-62,0.116503987,,,,,,1842.698243,-113.439317,70.06148385,-0.049501224,1799.270908,,,0.64,1,,,
,,1410.167635,-73.911528,49.85420185,-0.054748809,1386.05556,-61,0.138605556,,,,,,2192.277416,-134.8885386,83.27295254,-0.054748809,2140.607081,,,0.64,1,,,
,,1685.302421,-88.21744729,59.54273254,0.003381566,1656.631088,-60,0.165663109,,,,,,2620.007965,-160.9968413,99.45599281,0.003381566,2558.470498,,,0.64,1,,,
,,1974.090253,-103.4055511,69.75734879,0.014623464,1940.456674,-59,0.194045667,,,,,,3068.963839,-188.7151308,116.5177694,0.014623464,2996.781101,,,0.64,1,,,
,,2305.871441,-120.9634995,81.4941209,-0.033823822,2266.368239,-58,0.226636824,,,,,,3584.758123,-220.7583866,136.1220481,-0.033823822,3500.087961,,,0.64,1,,,
,,2677.33334,-140.4723139,94.60194859,0.000586087,2631.46356,-57,0.263146356,,,,,,4162.240906,-256.3619729,158.0164416,0.000586087,4063.895961,,,0.64,1,,,
,,3093.36721,-162.3072341,109.2566828,0.050855511,3040.367514,-56,0.304036751,,,,,,4809.016251,-296.2107023,182.494679,0.050855511,4695.351084,,,0.64,1,,,
,,3552.594992,-186.3920482,125.2229468,-0.055692584,3491.370198,-55,0.34913702,,,,,,5522.941794,-340.1654879,209.1636035,-0.055692584,5391.884217,,,0.64,1,,,
,,4055.128092,-212.6244819,142.6993463,-0.034981387,3985.167975,-54,0.398516798,,,,,,6304.190732,-388.0396795,238.3549521,-0.034981387,6154.471024,,,0.64,1,,,
,,4582.180463,-239.6601798,160.6947477,0.064533915,4503.279564,-53,0.450327956,,,,,,7123.557862,-437.3798282,268.4132049,0.064533915,6954.655772,,,0.64,1,,,
,,5146.150746,-268.5722895,179.6579016,-0.040764925,5057.195593,-52,0.505719559,,,,,,8000.318387,-490.1444284,300.0879236,-0.040764925,7810.221117,,,0.64,1,,,
,,5733.613203,-298.1536376,199.0493376,-0.025920837,5634.482982,-51,0.563448298,,,,,,8913.600358,-544.1303887,332.4780145,-0.025920837,8701.922063,,,0.64,1,,,
,,6341.674448,-328.237209,218.6592535,0.029776775,6232.12627,-50,0.623212627,,,,,,9858.905655,-599.0329065,365.2330388,0.029776775,9625.135564,,,0.64,1,,,
,,6964.58145,-358.4119068,238.0834843,0.030694865,6844.283723,-49,0.684428372,,,,,,10827.29049,-654.10173,397.6779078,0.030694865,10570.89737,,,0.64,1,,,
,,7598.025815,-388.2707922,257.0484927,0.015446099,7466.818962,-48,0.746681896,,,,,,11812.05694,-708.5941958,429.3557241,0.015446099,11532.83392,,,0.64,1,,,
,,8240.290107,-417.5951416,275.4284558,0.042579962,8098.166001,-47,0.8098166,,,,,,12810.53504,-762.1111334,460.0563218,0.042579962,12508.5228,,,0.64,1,,,
,,8896.921159,-446.8245215,293.4387458,0.05197798,8743.587361,-46,0.874358736,,,,,,13831.34802,-815.4547517,490.1394435,0.05197798,13506.08469,,,0.64,1,,,
,,9566.038604,-475.7927113,310.9099996,0.029242428,9401.185135,-45,0.940118513,,,,,,14871.57262,-868.3216981,519.3221972,0.029242428,14522.60236,,,0.64,1,,,
,,10250.77955,-504.7342987,328.0339133,0.04452007,10074.12368,-44,1.007412368,,,,,,15936.08585,-921.1400951,547.9247783,0.04452007,15562.91506,,,0.64,1,,,
,,10952.66505,-533.7996534,344.8239973,0.057995011,10763.74739,-43,1.076374739,,,,,,17027.25239,-974.1843675,575.9697537,0.057995011,16629.09577,,,0.64,1,,,
,,11674.13953,-563.3843879,361.489336,0.048973603,11472.29345,-42,1.147229345,,,,,,18148.87238,-1028.176508,603.8063634,0.048973603,17724.55121,,,0.64,1,,,
,,12417.15452,-593.9120789,378.2966683,0.040386655,12201.5795,-41,1.22015795,,,,,,19303.97972,-1083.889544,631.8801493,0.040386655,18852.01071,,,0.64,1,,,
,,13180.48929,-625.5111255,395.2674698,0.036057559,12950.28169,-40,1.295028169,,,,,,20490.67663,-1141.557804,660.2269825,0.036057559,20009.38187,,,0.64,1,,,
,,13963.27411,-658.5695885,412.6185503,0.049813245,13717.37288,-39,1.371737288,,,,,,21707.61101,-1201.889499,689.2090071,0.049813245,21194.98034,,,0.64,1,,,
,,14762.32133,-693.4267529,430.4845698,0.054963069,14499.43411,-38,1.449943411,,,,,,22949.82727,-1265.503824,719.0511496,0.054963069,22403.42956,,,0.64,1,,,
,,15572.67514,-730.4554263,449.0515709,0.054389412,15291.32568,-37,1.529132568,,,,,,24209.62102,-1333.081153,750.0641623,0.054389412,23626.65842,,,0.64,1,,,
,,16387.6721,-769.9816225,468.4678397,0.057542004,16086.21585,-36,1.608621585,,,,,,25476.63309,-1405.216461,782.4957322,0.057542004,24853.9699,,,0.64,1,,,
,,17199.11727,-812.3007282,488.8316369,0.057990336,16875.70616,-35,1.687570616,,,,,,26738.12348,-1482.448829,816.5099869,0.057990336,26072.24263,,,0.64,1,,,
,,17997.26534,-857.7614093,510.2916132,0.060748041,17649.8563,-34,1.76498563,,,,,,27978.94192,-1565.414572,852.355222,0.060748041,27265.94332,,,0.64,1,,,
,,18771.62477,-906.6176614,532.8923271,0.062532832,18397.96197,-33,1.839796197,,,,,,29182.778,-1654.577232,890.1058651,0.062532832,28418.36917,,,0.64,1,,,
,,19510.66221,-959.1844033,556.7249463,0.05985044,19108.26261,-32,1.910826261,,,,,,30331.70176,-1750.511536,929.9141961,0.05985044,29511.16427,,,0.64,1,,,
,,20202.17808,-1015.834096,581.9418686,0.062910335,19768.34877,-31,1.976834877,,,,,,31406.74744,-1853.897226,972.0347695,0.062910335,30524.94789,,,0.64,1,,,
,,20834.41473,-1076.826977,608.5697447,0.060225105,20366.21773,-30,2.036621773,,,,,,32389.63635,-1965.209233,1016.512101,0.060225105,31440.99945,,,0.64,1,,,
,,21395.3538,-1142.517226,636.7583399,0.050546367,20889.64546,-29,2.088964546,,,,,,33261.68448,-2085.093938,1063.596348,0.050546367,32240.23743,,,0.64,1,,,
,,21874.69965,-1213.071352,666.4133367,0.033638299,21328.07527,-28,2.132807527,,,,,,34006.88601,-2213.855217,1113.129969,0.033638299,32906.1944,,,0.64,1,,,
,,22262.69778,-1288.662232,697.4839798,0.01634685,21671.53587,-27,2.167153587,,,,,,34610.07638,-2351.808573,1165.028186,0.01634685,33423.31234,,,0.64,1,,,
,,22549.20882,-1369.580373,730.1370697,-7.07128E-05,21909.76545,-26,2.190976545,,,,,,35055.49271,-2499.484181,1219.569611,-7.07128E-05,33775.57807,,,0.64,1,,,
,,22726.75352,-1455.96408,764.2615686,-0.029892957,22035.02112,-25,2.203502112,,,,,,35331.50758,-2657.134446,1276.568774,-0.029892957,33950.91201,,,0.64,1,,,
,,22788.51396,-1547.842547,799.8320887,0.013402674,22040.5169,-24,2.20405169,,,,,,35427.5217,-2824.812649,1335.983269,0.013402674,33938.70572,,,0.64,1,,,
,,22730.82724,-1645.631258,836.6305382,-0.101457472,21921.72506,-23,2.192172506,,,,,,35337.84067,-3003.277046,1397.448811,-0.101457472,33731.91097,,,0.64,1,,,
,,22548.22269,-1749.207872,874.7198693,-0.256185857,21673.4785,-22,2.16734785,,,,,,35053.95965,-3192.304367,1461.070551,-0.256185857,33322.46964,,,0.64,1,,,
,,22239.71634,-1858.845039,914.104922,-0.484414919,21294.49181,-21,2.129449181,,,,,,34574.34893,-3392.392196,1526.856573,-0.484414919,32708.32889,,,0.64,1,,,
,,21811.96517,-1975.105047,955.2373075,-0.232862082,20791.86456,-20,2.079186456,,,,,,33909.35761,-3604.566711,1595.561217,-0.232862082,31900.11926,,,0.64,1,,,
,,21268.20632,-2098.523269,998.1303922,0.123304786,20167.93675,-19,2.016793675,,,,,,33064.01823,-3829.804966,1667.206809,0.123304786,30901.54338,,,0.64,1,,,
,,20621.77962,-2231.005233,1042.730144,-0.393651818,19433.11087,-18,1.943311087,,,,,,32059.06915,-4071.58455,1741.703098,-0.393651818,29728.79405,,,0.64,1,,,
,,19883.97415,-2372.591813,1089.89118,-1.010172529,18600.26335,-17,1.860026335,,,,,,30912.06066,-4329.980059,1820.477575,-1.010172529,28401.548,,,0.64,1,,,
,,19077.05664,-2523.887352,1141.5824,0.193634777,17694.94532,-16,1.769494532,,,,,,29657.60906,-4606.094417,1906.818954,0.193634777,26958.52724,,,0.64,1,,,
,,18219.46331,-2688.2467,1196.220718,-0.74607829,16726.69125,-15,1.672669125,,,,,,28324.37574,-4906.050228,1998.082957,-0.74607829,25415.66239,,,0.64,1,,,
,,17330.0498,-2864.099934,1256.610682,-0.233770245,15722.32678,-14,1.572232678,,,,,,26941.67406,-5226.982379,2098.954106,-0.233770245,23813.41201,,,0.64,1,,,
,,16425.00142,-3052.843975,1322.002593,-0.633184838,14693.52686,-13,1.469352686,,,,,,25534.66608,-5571.440254,2208.180155,-0.633184838,22170.77279,,,0.64,1,,,
,,15520.48129,-3252.544689,1394.550813,0.687440025,13663.17485,-12,1.366317485,,,,,,24128.47931,-5935.894057,2329.3596,0.687440025,20522.63229,,,0.64,1,,,
,,14626.65381,-3463.856664,1472.916348,0.567326837,12636.28082,-11,1.263628082,,,,,,22738.91559,-6321.538411,2460.255878,0.567326837,18878.20038,,,0.64,1,,,
,,13750.89805,-3685.003729,1556.887157,-1.990759425,11620.79072,-10,1.162079072,,,,,,21377.44655,-6725.131805,2600.514812,-1.990759425,17250.8388,,,0.64,1,,,
,,12903.75818,-3910.458905,1650.274912,-1.421840837,10642.15234,-9,1.064215234,,,,,,20060.46439,-7136.587501,2756.503149,-1.421840837,15678.9582,,,0.64,1,,,
,,12089.30378,-4138.732727,1752.151724,-0.307569779,9702.415205,-8,0.970241521,,,,,,18794.29579,-7553.187227,2926.671011,-0.307569779,14167.472,,,0.64,1,,,
,,11310.46001,-4365.142634,1862.56032,0.920132035,8808.797827,-7,0.880879783,,,,,,17583.48825,-7966.385307,3111.089765,0.920132035,12729.11284,,,0.64,1,,,
,,10568.10872,-4587.11204,1980.24384,-0.999710017,7960.240806,-6,0.796024081,,,,,,16429.41271,-8371.479473,3307.66004,-0.999710017,11364.59356,,,0.64,1,,,
,,9866.81717,-4797.171468,2109.02258,-0.964288854,7177.703992,-5,0.717770399,,,,,,15339.16955,-8754.83793,3522.76299,-0.964288854,10106.13032,,,0.64,1,,,
,,9207.136238,-4989.864974,2249.497881,0.837548925,6467.606694,-4,0.646760669,,,,,,14313.61516,-9106.503578,3757.403054,0.837548925,8965.352189,,,0.64,1,,,
,,8586.094497,-5162.162064,2399.987437,-0.09566215,5823.824208,-3,0.582382421,,,,,,13348.1301,-9420.945767,4008.770225,-0.09566215,7935.858892,,,0.64,1,,,
,,8006.759637,-5305.791498,2564.791161,1.932216272,5267.691518,-2,0.526769152,,,,,,12447.48347,-9683.069483,4284.046775,1.932216272,7050.392974,,,0.64,1,,,
,,7463.510377,-5419.966237,2740.566866,-0.592304525,4783.518701,-1,0.47835187,,,,,,11602.9363,-9891.438382,4577.650149,-0.592304525,6288.555757,,,0.64,1,,,
,,6959.348055,-5497.320033,2932.490474,-0.798699829,4393.719797,0,0.43937198,,,,,,10819.15454,-10032.60906,4898.225847,-0.798699829,5683.972633,,,0.64,1,,,
,,6490.236367,-5536.845211,3140.314851,-1.817293719,4091.888713,1,0.409188871,,,,,,10089.86326,-10104.74251,5245.361069,-1.817293719,5228.664532,,,0.64,1,,,
,,6056.057783,-5535.713945,3367.272939,-0.775645347,3886.841131,2,0.388684113,,,,,,9414.879746,-10102.67795,5624.455898,-0.775645347,4935.882051,,,0.64,1,,,
,,5655.092533,-5494.333704,3614.211579,1.700864146,3776.671272,3,0.377667127,,,,,,8791.530409,-10027.15901,6036.924835,1.700864146,4802.997098,,,0.64,1,,,
,,5282.199602,-5416.093833,3881.025613,1.561857805,3748.693239,4,0.374869324,,,,,,8211.82291,-9884.371245,6482.592232,1.561857805,4811.605754,,,0.64,1,,,
,,4935.935954,-5304.063537,4169.311229,-1.121094075,3800.062552,5,0.380006255,,,,,,7673.513878,-9679.915955,6964.124251,-1.121094075,4956.60108,,,0.64,1,,,
,,4618.847612,-5158.588392,4484.939481,0.51419807,3945.712899,6,0.39457129,,,,,,7180.561414,-9414.423815,7491.327484,0.51419807,5257.979282,,,0.64,1,,,
,,4325.347645,-4986.973638,4826.913966,0.994025024,4166.281998,7,0.4166282,,,,,,6724.279952,-9101.226889,8062.537614,0.994025024,5686.584702,,,0.64,1,,,
,,4055.120456,-4794.544923,5197.604771,1.504639769,4459.684944,8,0.445968494,,,,,,6304.17886,-8750.044484,8681.713463,1.504639769,6237.352479,,,0.64,1,,,
,,3805.947595,-4587.265773,5598.249506,1.042479865,4817.973808,9,0.481797381,,,,,,5916.809287,-8371.760036,9350.922251,1.042479865,6897.013982,,,0.64,1,,,
,,3575.774184,-4371.495534,6029.509856,-1.649876295,5232.138629,10,0.523213863,,,,,,5558.976672,-7977.97935,10071.26921,-1.649876295,7650.616652,,,0.64,1,,,
,,3367.151741,-4149.01821,6495.321255,-0.505255106,5712.94953,11,0.571294953,,,,,,5234.647665,-7571.958234,10849.32781,-0.505255106,8511.511988,,,0.64,1,,,
,,3174.754952,-3927.594499,6990.922437,-1.870056516,6236.212833,12,0.623621283,,,,,,4935.543412,-7167.859961,11677.14517,-1.870056516,9442.958568,,,0.64,1,,,
,,3000.680965,-3709.089885,7517.815389,-0.985365994,6808.421103,13,0.68084211,,,,,,4664.924189,-6769.08904,12557.2301,-0.985365994,10452.07989,,,0.64,1,,,
,,2842.025002,-3497.446073,8069.798687,-0.160194263,7414.217421,14,0.741421742,,,,,,4418.274163,-6382.839084,13479.22418,-0.160194263,11514.49907,,,0.64,1,,,
,,2696.928287,-3295.041797,8639.892589,-0.018923534,8041.760155,15,0.804176015,,,,,,4192.703639,-6013.45128,14431.46894,-0.018923534,12610.70237,,,0.64,1,,,
,,2564.109223,-3103.635962,9220.641466,-0.510985418,8680.603741,16,0.868060374,,,,,,3986.22022,-5664.135631,15401.51102,-0.510985418,13723.08463,,,0.64,1,,,
,,2442.041088,-2922.069432,9799.31516,-0.566400156,9318.720415,17,0.931872042,,,,,,3796.450431,-5332.776714,16368.08686,-0.566400156,14831.19418,,,0.64,1,,,
,,2329.995192,-2749.801963,10365.42421,1.112447718,9946.729891,18,0.994672989,,,,,,3622.261433,-5018.388582,17313.67561,1.112447718,15918.66091,,,0.64,1,,,
,,2223.39022,-2588.679099,10903.78678,-0.004373016,10538.49353,19,1.053849353,,,,,,3456.531015,-4724.339356,18212.91858,-0.004373016,16945.10586,,,0.64,1,,,
,,2123.087306,-2435.4564,11403.20971,-0.051030112,11090.78959,20,1.109078959,,,,,,3300.597913,-4444.70793,19047.11952,-0.051030112,17902.95847,,,0.64,1,,,
,,2027.421691,-2290.251738,11852.86482,-0.065077736,11589.9697,21,1.15899697,,,,,,3151.874058,-4179.709421,19798.19179,-0.065077736,18770.29135,,,0.64,1,,,
,,1935.573363,-2152.590119,12243.34998,-0.156805026,12026.17642,22,1.202617642,,,,,,3009.08464,-3928.476967,20450.43073,-0.156805026,19530.8816,,,0.64,1,,,
,,1847.40068,-2021.562668,12566.28835,0.14320968,12392.26957,23,1.239226957,,,,,,2872.009461,-3689.35187,20989.84428,0.14320968,20172.64508,,,0.64,1,,,
,,1762.452504,-1897.690352,12816.96053,0.249746232,12681.97243,24,1.268197243,,,,,,2739.94717,-3463.284892,21408.54946,0.249746232,20685.46148,,,0.64,1,,,
,,1680.884528,-1780.877492,12991.1242,0.16744822,12891.29868,25,1.289129868,,,,,,2613.139813,-3250.101423,21699.4602,0.16744822,21062.66604,,,0.64,1,,,
,,1602.704436,-1671.052137,13087.76305,0.144830098,13019.56018,26,1.301956018,,,,,,2491.599333,-3049.67015,21860.87894,0.144830098,21302.95295,,,0.64,1,,,
,,1528.15873,-1568.050841,13105.64164,0.132697811,13065.88223,27,1.306588223,,,,,,2375.70895,-2861.692784,21890.74208,0.132697811,21404.89094,,,0.64,1,,,
,,1457.205642,-1471.828867,13046.60817,0.126561222,13032.11151,28,1.303211151,,,,,,2265.403729,-2686.087682,21792.13673,0.126561222,21371.57934,,,0.64,1,,,
,,1390.106537,-1382.281334,12913.23978,0.116444266,12921.18142,29,1.292118142,,,,,,2161.089994,-2522.663435,21569.36754,0.116444266,21207.91054,,,0.64,1,,,
,,1326.404784,-1298.96759,12710.95971,0.125176457,12738.52208,30,1.273852208,,,,,,2062.057858,-2370.615851,21231.49314,0.125176457,20923.06033,,,0.64,1,,,
,,1266.525488,-1221.875596,12444.8892,0.095573856,12489.63466,31,1.248963466,,,,,,1968.968196,-2229.922963,20787.06767,0.095573856,20526.20848,,,0.64,1,,,
,,1210.014971,-1150.457731,12123.17656,0.093840794,12182.82764,32,1.218282764,,,,,,1881.115711,-2099.585359,20249.70151,0.093840794,20031.32571,,,0.64,1,,,
,,1156.835801,-1084.452602,11753.78654,0.082007076,11826.25174,33,1.182625174,,,,,,1798.442212,-1979.125999,19632.69839,0.082007076,19452.09661,,,0.64,1,,,
,,1107.124492,-1023.642641,11344.86585,0.076757618,11428.42446,34,1.142842446,,,,,,1721.159924,-1868.14782,18949.66604,0.076757618,18802.7549,,,0.64,1,,,
,,1060.243515,-967.4232674,10906.78473,0.072369418,10999.67735,35,1.099967735,,,,,,1648.277733,-1765.547463,18217.92615,0.072369418,18100.72879,,,0.64,1,,,
,,1016.100988,-915.4935107,10448.18341,0.060332047,10548.85122,36,1.054885122,,,,,,1579.652796,-1670.775657,17451.91075,0.060332047,17360.84822,,,0.64,1,,,
