,,,,,,,,,,,,,,,,,,,,,,,,,
,k=9.21E-5,9.21E-05,,,,,,,,,,,,,,,,,,,,,,,
,radius of chamber (cm),7.2,,,,,,,,,,,,,,,,,,,,,,,
,r (cm),I,B (T),,,,,,,,,,,,,,,,,,,,,,
,7.2,289,1.38,,,,,,,,,,,,,,,,,,,,,,
,7.2,400,1.91,,,I,,,,,,,,,,,,,,,,,,,
,7.2,450,2.15,,,430,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r (cm),B (T),,,,,,,,,,,,,,,,,,,
,,,2.234375,,0,0.000,,,,,,,,,,,,,,,,,,,
,,,,,0.1,0.000,,,,,,,,,,,,,,,,,,,
,,,,,0.2,0.002,,,,,,,,,,,,,,,,,,,
,,,,,0.3,0.004,,,,,,,,,,,,,,,,,,,
,,,,,0.4,0.006,,,,,,,,,,,,,,,,,,,
,,,,,0.5,0.010,,,,,,,,,,,,,,,,,,,
,,,,,0.6,0.014,,,,,,,,,,,,,,,,,,,
,,,,,0.7,0.019,,,,,,,,,,,,,,,,,,,
,,,,,0.8,0.025,,,,,,,,,,,,,,,,,,,
,,,,,0.9,0.032,,,,,,,,,,,,,,,,,,,
,,,,,1,0.040,,,,,,,,,,,,,,,,,,,
,,,,,1.1,0.048,,,,,,,,,,,,,,,,,,,
,,,,,1.2,0.057,,,,,,,,,,,,,,,,,,,
,,,,,1.3,0.067,,,,,,,,,,,,,,,,,,,
,,,,,1.4,0.078,,,,,,,,,,,,,,,,,,,
,,,,,1.5,0.089,,,,,,,,,,,,,,,,,,,
,,,,,1.6,0.101,,,,,,,,,,,,,,,,,,,
,,,,,1.7,0.114,,,,,,,,,,,,,,,,,,,
,,,,,1.8,0.128,,,,,,,,,,,,,,,,,,,
,,,,,1.9,0.143,,,,,,,,,,,,,,,,,,,
,,,,,2,0.158,,,,,,,,,,,,,,,,,,,
,,,,,2.1,0.175,,,,,,,,,,,,,,,,,,,
,,,,,2.2,0.192,,,,,,,,,,,,,,,,,,,
,,,,,2.3,0.209,,,,,,,,,,,,,,,,,,,
,,,,,2.4,0.228,,,,,,,,,,,,,,,,,,,
,,,,,2.5,0.248,,,,,,,,,,,,,,,,,,,
,,,,,2.6,0.268,,,,,,,,,,,,,,,,,,,
,,,,,2.7,0.289,,,,,,,,,,,,,,,,,,,
,,,,,2.8,0.310,,,,,,,,,,,,,,,,,,,
,,,,,2.9,0.333,,,,,,,,,,,,,,,,,,,
,,,,,3,0.356,,,,,,,,,,,,,,,,,,,
,,,,,3.1,0.381,,,,,,,,,,,,,,,,,,,
,,,,,3.2,0.406,,,,,,,,,,,,,,,,,,,
,,,,,3.3,0.431,,,,,,,,,,,,,,,,,,,
,,,,,3.4,0.458,,,,,,,,,,,,,,,,,,,
,,,,,3.5,0.485,,,,,,,,,,,,,,,,,,,
,,,,,3.6,0.513,,,,,,,,,,,,,,,,,,,
,,,,,3.7,0.542,,,,,,,,,,,,,,,,,,,
,,,,,3.8,0.572,,,,,,,,,,,,,,,,,,,
,,,,,3.9,0.602,,,,,,,,,,,,,,,,,,,
,,,,,4,0.634,,,,,,,,,,,,,,,,,,,
,,,,,4.1,0.666,,,,,,,,,,,,,,,,,,,
,,,,,4.2,0.699,,,,,,,,,,,,,,,,,,,
,,,,,4.3,0.732,,,,,,,,,,,,,,,,,,,
,,,,,4.4,0.767,,,,,,,,,,,,,,,,,,,
,,,,,4.5,0.802,,,,,,,,,,,,,,,,,,,
,,,,,4.6,0.838,,,,,,,,,,,,,,,,,,,
,,,,,4.7,0.875,,,,,,,,,,,,,,,,,,,
,,,,,4.8,0.912,,,,,,,,,,,,,,,,,,,
,,,,,4.9,0.951,,,,,,,,,,,,,,,,,,,
,,,,,5,0.990,,,,,,,,,,,,,,,,,,,
,,,,,5.1,1.030,,,,,,,,,,,,,,,,,,,
,,,,,5.2,1.071,,,,,,,,,,,,,,,,,,,
,,,,,5.3,1.112,,,,,,,,,,,,,,,,,,,
,,,,,5.4,1.155,,,,,,,,,,,,,,,,,,,
,,,,,5.5,1.198,,,,,,,,,,,,,,,,,,,
,,,,,5.6,1.242,,,,,,,,,,,,,,,,,,,
,,,,,5.7,1.287,,,,,,,,,,,,,,,,,,,
,,,,,5.8,1.332,,,,,,,,,,,,,,,,,,,
,,,,,5.9,1.379,,,,,,,,,,,,,,,,,,,
,,,,,6,1.426,,,,,,,,,,,,,,,,,,,
,,,,,6.1,1.474,,,,,,,,,,,,,,,,,,,
,,,,,6.2,1.522,,,,,,,,,,,,,,,,,,,
,,,,,6.3,1.572,,,,,,,,,,,,,,,,,,,
,,,,,6.4,1.622,,,,,,,,,,,,,,,,,,,
,,,,,6.5,1.673,,,,,,,,,,,,,,,,,,,
,,,,,6.6,1.725,,,,,,,,,,,,,,,,,,,
,,,,,6.7,1.778,,,,,,,,,,,,,,,,,,,
,,,,,6.8,1.831,,,,,,,,,,,,,,,,,,,
,,,,,6.9,1.885,,,,,,,,,,,,,,,,,,,
,,,,,7,1.941,,,,,,,,,,,,,,,,,,,
,,,,,7.1,1.996,,,,,,,,,,,,,,,,,,,
,,,,,7.2,2.053,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
