BATMAN_Current_at_Peak(A)	Area
36.655	2.6757715053000027e-06
52.018	7.503573416850022e-06
56.322	1.1219013068400012e-05
60.168	1.5477273976800046e-05
62.038	1.6511661939999997e-06
66.174	1.9263980092200003e-05
68.882	1.7649448077499958e-06
73.568	2.6649657009000046e-05
79.482	2.671147323199983e-06
84.77	3.5335630058100005e-05
89.696	7.324178930000005e-07
96.71	5.128767998099995e-06
103.293	6.50198043747001e-05
