file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
Run01.mca,128.561,07/09/2025 19:41:53,9.998424,9.84 x 1.0161,130,486,1024,75.70011817174495,130.212977558943,233.99707523841627,66,0.40505675256707374,0.09195119186069343,0.3079361404680199,0.009648705819251112,0.0014617022312758618,-0.009648705819251112,0.0014617022312758618,-4.934620823875561,0.24138686760297662,-103.6408424852998,15.700763765624991,1-sigma propagated from slope standard error,Run01_analysis.png,ok
Run02.mca,120.0,07/09/2025 19:49:58,9.998424,9.84 x 1.0161,238,923,1024,76.22428028123724,170.049297880357,239.76285844283146,43,0.3839035704863353,0.040545459937105253,0.206211753426206,0.0077151680038075,0.001526394278843319,-0.0077151680038075,0.001526394278843319,-4.519274409185473,0.3006015804742723,-129.61480547234896,25.643420522890214,1-sigma propagated from slope standard error,Run02_analysis.png,ok
Run03.mca,120.0,07/09/2025 19:55:05,9.998424,9.84 x 1.0161,371,1313,1024,75.70011817174495,137.55124709183508,166.90432522340325,45,0.15148604075754368,0.26842822015094636,0.5300125032924593,-0.026551414099997537,0.009582892505131472,0.026551414099997537,0.009582892505131472,1.1180586683137532,1.440635526447347,37.66277744129992,13.593187402576092,1-sigma propagated from slope standard error,Run03_analysis.png,ok
Run04.mca,120.0,07/09/2025 20:00:41,9.998424,9.84 x 1.0161,452,1608,1024,75.70011817174495,146.46200295320398,178.43589163223362,54,0.14698813165763902,0.2511730531823457,0.5107186654390268,-0.022128634446734394,0.007392466152929817,0.022128634446734394,0.007392466152929817,0.8581775982640788,1.1978215980133988,45.19031675484042,15.096633633424887,1-sigma propagated from slope standard error,Run04_analysis.png,ok
Run05.mca,120.0,07/09/2025 20:59:26,9.998424,9.84 x 1.0161,561,1702,1024,76.22428028123724,152.22778615761916,182.62918850817192,49,0.16750185890418667,0.36462805690038236,0.6165583057814226,-0.030675731044325822,0.009975342432719888,0.030675731044325822,0.009975342432719888,2.527368757337242,1.6611821770675437,32.59906010243146,10.600783630443297,1-sigma propagated from slope standard error,Run05_analysis.png,ok
Run06.mca,120.0,07/09/2025 21:14:18,9.998424,9.84 x 1.0161,2205,5938,1024,75.70011817174495,114.48811427417435,249.72193852318495,252,0.5076484194061626,0.18416574589200438,0.4308585288225596,-0.01125646493732967,0.0007011132385973774,0.01125646493732967,0.0007011132385973774,0.48056954667998125,0.12957084342930097,88.8378372399769,5.533298786437888,1-sigma propagated from slope standard error,Run06_analysis.png,ok
Run07.mca,120.0,07/09/2025 21:20:56,9.998424,9.84 x 1.0161,2370,6183,1024,75.70011817174495,120.77805958808182,246.5769658662312,232,0.4548610081241288,0.242503566719865,0.49458294894486027,-0.012493869412282527,0.0009018770028094105,0.012493869412282527,0.0009018770028094105,0.7547643582903765,0.16728753293325874,80.03925501389631,5.777678718817598,1-sigma propagated from slope standard error,Run07_analysis.png,ok
Run08.mca,120.0,07/09/2025 21:25:54,9.998424,9.84 x 1.0161,2673,6641,1024,76.22428028123724,119.72973536909724,249.19777641369265,243,0.49698695694768236,0.16724459457970153,0.4106488969015028,-0.01100116760273867,0.0007129308165038676,0.01100116760273867,0.0007129308165038676,0.6545718945758505,0.1332833597845263,90.89944232383628,5.89073959927181,1-sigma propagated from slope standard error,Run08_analysis.png,ok
Run09.mca,120.0,07/09/2025 21:30:12,9.998424,9.84 x 1.0161,1696,4567,1024,75.70011817174495,118.15724904062037,246.5769658662312,231,0.36277603423538785,0.2075772978545114,0.457591739456887,-0.009477565601520997,0.0008300529819780142,0.009477565601520997,0.0008300529819780142,-0.06327032850149714,0.15194143683566,105.51232690381126,9.240856277258823,1-sigma propagated from slope standard error,Run09_analysis.png,ok
Run10.mca,120.0,07/09/2025 21:34:32,9.998424,9.84 x 1.0161,1934,4921,1024,76.22428028123724,122.35054591655869,248.1494521947081,230,0.4004740383625929,0.21259622614620527,0.46309945510972733,-0.010480063224429684,0.0008492064668960945,0.010480063224429684,0.0008492064668960945,0.2307694673772117,0.15862193526718352,95.41927167661902,7.731886806313598,1-sigma propagated from slope standard error,Run10_analysis.png,ok
