file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
Run01.mca,92.962,05/20/2025 02:07:20,9.998424,9.84 x 1.0161,4858,11215,1024,141.2203818582811,145.41367873421942,249.19777641369265,199,0.3692551496250207,0.13154109566604888,0.36452234260967226,-0.00921604438329309,0.0008581733445059714,0.00921604438329309,0.0008581733445059714,1.303743902150058,0.17128291147628394,108.50642188885365,10.103827097614376,1-sigma propagated from slope standard error,Run01_analysis.png,ok
Run03.mca,90.007,05/20/2025 03:03:24,9.998424,9.84 x 1.0161,4168,9819,1024,148.03448928168086,151.70362404812687,249.72193852318495,188,0.28322704180981917,0.14942063514871895,0.3886223213416102,-0.0085419128313691,0.0009963733686375955,0.0085419128313691,0.0009963733686375955,1.1053293262218111,0.2019833779901498,117.06979686419015,13.655633131601066,1-sigma propagated from slope standard error,Run03_analysis.png,ok
Run04.mca,90.027,05/20/2025 03:08:17,9.998424,9.84 x 1.0161,6732,15099,1024,133.88211232538904,135.9787607633582,249.72193852318495,218,0.4460334737381263,0.08144176085007095,0.2866981883938445,-0.007763161435136416,0.0005886671173505517,0.007763161435136416,0.0005886671173505517,1.4252121995558016,0.11517331931502162,128.81350057644755,9.767705166733858,1-sigma propagated from slope standard error,Run04_analysis.png,ok
Run05.mca,90.02,05/20/2025 03:12:28,9.998424,9.84 x 1.0161,9448,21187,1024,143.84119240574253,147.51032717218857,249.72193852318495,196,0.5085685413599939,0.0674734095977931,0.2610919603484471,-0.008910132825104554,0.0006288398335450419,0.008910132825104554,0.0006288398335450419,1.9833118856968837,0.12628240383429523,112.2317724807055,7.920848152384721,1-sigma propagated from slope standard error,Run05_analysis.png,ok
Run06.mca,93.956,05/20/2025 03:18:08,9.998424,9.84 x 1.0161,2369,5353,1024,145.93784084371168,151.70362404812687,249.19777641369265,183,0.30256882446593214,0.24268637546717248,0.4953463362897212,-0.01148082544495326,0.001295604404871084,0.01148082544495326,0.001295604404871084,1.0086944083570766,0.2615974030642005,87.10175107135522,9.829381423932269,1-sigma propagated from slope standard error,Run06_analysis.png,ok
Run07.mca,90.004,05/20/2025 03:27:04,9.998424,9.84 x 1.0161,4364,10074,1024,144.88951662472712,146.98616506269627,236.61788578587772,172,0.32209472903889236,0.14045474099097183,0.376971019719703,-0.009926117180300663,0.001104454003037067,0.009926117180300663,0.001104454003037067,1.3631173466322677,0.2137777194865509,100.74432749842974,11.209567020802357,1-sigma propagated from slope standard error,Run07_analysis.png,ok
Run08.mca,91.003,05/20/2025 03:31:55,9.998424,9.84 x 1.0161,3953,10021,1024,139.12373342031194,153.27611037660375,249.72193852318495,184,0.3963608703355028,0.15999301500451246,0.4021830180459663,-0.011618617361393163,0.0010628257323302454,0.011618617361393163,0.0010628257323302454,1.6491139505103998,0.21596109565615276,86.06876092871795,7.873234053544283,1-sigma propagated from slope standard error,Run08_analysis.png,ok
Run09.mca,92.003,05/20/2025 03:36:27,9.998424,9.84 x 1.0161,4176,10740,1024,145.93784084371168,148.03448928168086,249.72193852318495,194,0.3164214398918873,0.18209924803829633,0.4289476835295441,-0.009889005655313086,0.0010489705032861877,0.009889005655313086,0.0010489705032861877,1.3310923563977386,0.21060910997404303,101.12240146841538,10.726499716868984,1-sigma propagated from slope standard error,Run09_analysis.png,ok
Run10.mca,90.006,05/20/2025 03:41:28,9.998424,9.84 x 1.0161,4427,9962,1024,128.64049123046615,151.17946193863457,249.72193852318495,187,0.4005058707327507,0.13623186892366654,0.37108576621180644,-0.01062955748459081,0.0009561308799637014,0.01062955748459081,0.0009561308799637014,1.5461724365859522,0.19312289059287294,94.07729357027843,8.462271888208944,1-sigma propagated from slope standard error,Run10_analysis.png,ok
Run11.mca,112.78,05/20/2025 03:46:25,9.998424,9.84 x 1.0161,5905,12815,1024,148.55865139117313,150.6552998291423,247.6252900852158,186,0.3980797612157363,0.09276115414778875,0.3062179412811056,-0.008800695194126991,0.0007977971715454762,0.008800695194126991,0.0007977971715454762,1.2759148008739352,0.16045231710286864,113.62738714861237,10.300505366639753,1-sigma propagated from slope standard error,Run11_analysis.png,ok
Run12.mca,98.929,05/20/2025 03:52:43,9.998424,9.84 x 1.0161,4357,9913,1024,145.41367873421942,154.32443459558831,245.00447953775435,174,0.3073044605245244,0.16195525310982578,0.4047696304410472,-0.010181076005839569,0.001165510578560794,0.010181076005839569,0.001165510578560794,1.3804693634324516,0.23472542894126006,98.22144529973346,11.244207731354562,1-sigma propagated from slope standard error,Run12_analysis.png,ok
Run13.mca,92.966,05/20/2025 04:22:04,9.998424,9.84 x 1.0161,3647,8438,1024,126.543842792497,134.93043654437363,247.6252900852158,216,0.3687300117808632,0.14220317832050194,0.3788564107772874,-0.008818144811050284,0.000788721478133734,0.008818144811050284,0.000788721478133734,0.9240584784916961,0.15305141852942528,113.40253777040152,10.143065137953272,1-sigma propagated from slope standard error,Run13_analysis.png,ok
Run14.mca,93.945,05/20/2025 04:34:40,9.998424,9.84 x 1.0161,2932,7014,1024,140.6962197487888,142.79286818675797,248.67361430420036,202,0.283227584727756,0.22471267331003517,0.4764029807244446,-0.009700820036757122,0.0010912300508832387,0.009700820036757122,0.0010912300508832387,0.8562645363908565,0.21604193914265088,103.08406879118738,11.595765430760668,1-sigma propagated from slope standard error,Run14_analysis.png,ok
Run15.mca,92.983,05/20/2025 04:53:22,9.998424,9.84 x 1.0161,2446,6128,1024,147.51032717218857,159.0418935810189,236.09372367638542,146,0.34968736770270636,0.21059510905541085,0.4620822882621935,-0.015138258781854897,0.0017203460005892346,0.015138258781854897,0.0017203460005892346,1.7430394769349271,0.34128086248376477,66.05779531253789,7.506957412425884,1-sigma propagated from slope standard error,Run15_analysis.png,ok
Run16.mca,91.035,05/20/2025 05:25:56,9.998424,9.84 x 1.0161,4120,9075,1024,142.79286818675797,152.22778615761916,248.1494521947081,183,0.40454574105763264,0.1399146503452138,0.37611257434586326,-0.011103719082017882,0.0010013123313917503,0.011103719082017882,0.0010013123313917503,1.5626901866298955,0.2021586788196207,90.05991529626033,8.12143238532417,1-sigma propagated from slope standard error,Run16_analysis.png,ok
Run17.mca,103.847,05/21/2025 01:28:55,9.998424,9.84 x 1.0161,2813,6701,1024,138.07540920132735,140.17205763929653,249.72193852318495,204,0.2596374766249807,0.2197945440636245,0.471137695019423,-0.008894205202022519,0.0010567444703346264,0.008894205202022519,0.0010567444703346264,0.6161777313684008,0.20724197482673012,112.43275562976696,13.358438454874289,1-sigma propagated from slope standard error,Run17_analysis.png,ok
Run18.mca,91.015,05/21/2025 02:01:53,9.998424,9.84 x 1.0161,1805,4734,1024,132.83378810640446,189.967458041064,216.17556351567845,50,0.15633413561094966,0.24401001642956932,0.5041597965402121,-0.027300098282171094,0.009153810598776553,0.027300098282171094,0.009153810598776553,4.0791081708296275,1.8599573401300613,36.62990475946642,12.282124663205197,1-sigma propagated from slope standard error,Run18_analysis.png,ok
Run19.mca,90.016,05/21/2025 02:08:05,9.998424,9.84 x 1.0161,1175,3314,1024,134.40627443488134,176.33924319426447,199.92653812141748,45,0.22547925435404947,0.2606862114008314,0.5223132694714795,-0.03976237954184621,0.011238319406814709,0.03976237954184621,0.011238319406814709,5.609211575987799,2.1177583607817434,25.149400300542702,7.108150888452024,1-sigma propagated from slope standard error,Run19_analysis.png,ok
Run20.mca,98.904,05/21/2025 02:16:14,9.998424,9.84 x 1.0161,722,2391,1024,140.17205763929653,166.38016311391098,191.01578226004855,43,0.2470720971547874,0.1688710499543749,0.4208427998044772,-0.031340393171341394,0.008544317093266139,0.031340393171341394,0.008544317093266139,3.333071421929839,1.5252345820286821,31.907704365190618,8.698982885246044,1-sigma propagated from slope standard error,Run20_analysis.png,ok
Run21.mca,91.984,05/21/2025 02:30:09,9.998424,9.84 x 1.0161,3264,7352,1024,145.93784084371168,148.03448928168086,245.00447953775435,184,0.2675533047549046,0.22585642461914152,0.47784763612601455,-0.010257726615600413,0.0012580510900182446,0.010257726615600413,0.0012580510900182446,1.1122390903220458,0.24920358138335788,97.4874879663058,11.956278919797748,1-sigma propagated from slope standard error,Run21_analysis.png,ok
Run22.mca,93.01,05/21/2025 02:36:15,9.998424,9.84 x 1.0161,3921,8739,1024,149.60697561015772,154.8485967050806,248.67361430420036,178,0.3290624696197675,0.14395927419282178,0.3815693580935477,-0.00983548190821258,0.0010586226369887163,0.00983548190821258,0.0010586226369887163,1.2661442242583902,0.21499769986168973,101.67269985673045,10.943339903072895,1-sigma propagated from slope standard error,Run22_analysis.png,ok
Run23.mca,100.907,05/21/2025 02:47:26,9.998424,9.84 x 1.0161,5090,10855,1024,130.7371396684353,152.22778615761916,249.72193852318495,187,0.33970667664131793,0.13026048952664016,0.36286183463549354,-0.009149124639423467,0.0009377997043483545,0.009149124639423467,0.0009377997043483545,1.3051110902451575,0.19033292459830028,109.30007398642402,11.20342995744573,1-sigma propagated from slope standard error,Run23_analysis.png,ok
Run24.mca,91.022,05/21/2025 02:52:54,9.998424,9.84 x 1.0161,4864,10342,1024,142.79286818675797,162.71102834746495,248.1494521947081,164,0.28454531458814825,0.11879838748852686,0.3467924945088121,-0.008759496659627664,0.0010912819972756275,0.008759496659627664,0.0010912819972756275,1.3099967686534453,0.2258119511498935,114.16181075894224,14.222589915676307,1-sigma propagated from slope standard error,Run24_analysis.png,ok
Run25.mca,90.997,05/21/2025 03:22:09,9.998424,9.84 x 1.0161,5335,11095,1024,135.4545986538659,148.03448928168086,242.3836689902929,181,0.38044723244443035,0.09347651251834146,0.3074425846004567,-0.00874807237454472,0.0008344067101760842,0.00874807237454472,0.0008344067101760842,1.360240774654528,0.16447898413832202,114.3108969822673,10.903176769066787,1-sigma propagated from slope standard error,Run25_analysis.png,ok
Run26.mca,90.011,05/21/2025 03:34:48,9.998424,9.84 x 1.0161,6106,12761,1024,149.08281350066542,157.99356936203435,247.1011279757235,171,0.42510936282301803,0.10189490601665797,0.32109307512401253,-0.010608897883656146,0.0009490065273277349,0.010608897883656146,0.0009490065273277349,1.8780157380706721,0.19378074875577558,94.26049821259754,8.431962401177424,1-sigma propagated from slope standard error,Run26_analysis.png,ok
Run27.mca,96.932,05/21/2025 03:51:31,9.998424,9.84 x 1.0161,8234,17119,1024,148.03448928168086,152.22778615761916,247.6252900852158,183,0.47273882127048905,0.07271759168568177,0.27114774752167137,-0.009221421497604914,0.0007238704533082388,0.009221421497604914,0.0007238704533082388,1.844603870386829,0.14610235294143115,108.44315057713506,8.512656382406215,1-sigma propagated from slope standard error,Run27_analysis.png,ok
Run28.mca,112.746,05/21/2025 03:56:59,9.998424,9.84 x 1.0161,14041,30244,1024,143.31703029625024,151.70362404812687,248.67361430420036,186,0.6083398237040356,0.035834684669522394,0.19032654074401295,-0.008382789135387541,0.0004958624411109167,0.008382789135387541,0.0004958624411109167,2.0948267533417875,0.10024218637364692,119.29203798990339,7.056415258384649,1-sigma propagated from slope standard error,Run28_analysis.png,ok
Run29.mca,90.986,05/21/2025 04:17:09,9.998424,9.84 x 1.0161,6561,13921,1024,140.6962197487888,143.31703029625024,249.72193852318495,204,0.4057407726119524,0.08486001285024997,0.29274598374236005,-0.007798084834247826,0.0006640119753130406,0.007798084834247826,0.0006640119753130406,1.3856696822850703,0.13209116589801087,128.236614663151,10.919430811520456,1-sigma propagated from slope standard error,Run29_analysis.png,ok
