Run #,Spectral Temp,Error,Sum Counts,Livetimes,Coeff A,Coeff B,Coeff C,Coeff D
122_105_102_270_18_1000,43.7901502682552,1.0033679658595116,74.21893470307005,298.53,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_120_270A_18_1000,19.411478164353753,1.0888184705729012,10.924399754236035,298.92,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_125_270A_18_1000,18.380596621977777,1.3822787553498914,7.09745393639998,298.32,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_130_270A_18_1000,10.775888731013863,1.098206603591124,2.956333247192482,297.39,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_135_270A_18_1000,9.122523600138038,2.022684865685466,0.791222552086645,297.3,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
