Run #,Spectral Temp,Error,Sum Counts,Livetimes,Coeff A,Coeff B,Coeff C,Coeff D
122_105_102_270_18_1000,43.7901502682552,1.0033679658595116,74.21893470307005,298.53,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_120_270A_18_1000,21.13384417129568,0.8726895272131094,11.493760811842055,298.92,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_125_270A_18_1000,21.909990749219208,1.01488043985072,7.678287064914089,298.32,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_130_270A_18_1000,26.242621483139295,1.4995233141646853,3.6897893108154434,297.39,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_135_270A_18_1000,38.39329439345972,2.969268340997715,1.4437190946204213,297.3,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
