file,date,time,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq
csd_1761204142,2025-10-23,07:22:25,1.12579e-05,52.018,1.9999999999999996,2.86117e-05,56.322,2.29,5.56739e-05,60.168,2.67,2.91184e-06,68.882,3.2,5.695e-05,73.568,4.0,7.32852e-05,84.77,5.33,8.37569e-05,103.293,8.0
csd_1761204757,2025-10-23,07:32:40,9.84174e-06,52.456,2.029512081784387,3.25545e-05,56.322,2.29,6.42784e-05,60.471,2.6884289648840944,3.27383e-06,68.683,3.1878964884094563,6.73877e-05,73.505,3.989244558258642,8.86379e-05,84.77,5.33,9.05575e-05,103.293,8.0
csd_1761205249,2025-10-23,07:40:52,9.64715e-06,52.367,2.0235153345724903,3.5791e-05,56.158,2.278949814126394,8.43835e-05,60.621,2.697552214826716,4.90337e-06,68.814,3.195864126692678,0.000100369,73.752,4.021846098910909,9.77957e-05,84.714,5.323351187287985,9.33775e-05,103.334,8.0
csd_1761205760,2025-10-23,07:49:23,7.94228e-06,51.844,1.9886740870923645,4.84135e-05,55.588,2.2405436802973977,9.68411e-05,60.548,2.6931122331879735,5.88885e-06,68.751,3.1920323617167776,0.000121183,73.756,4.022321014104625,0.000122448,84.772,5.3302882902337645,7.62729e-05,103.295,8.0
csd_1761206405,2025-10-23,08:00:08,1.40048e-05,52.192,2.0117239776951674,4.44747e-05,56.24,2.284474907063197,0.000140136,60.621,2.697552214826716,1.92321e-05,68.88,3.199878356667431,0.000152639,73.752,4.021846098910909,8.76248e-05,84.821,5.3373514009609675,9.18805e-05,103.378,8.0
csd_1761206664,2025-10-23,08:04:27,8.64427e-06,51.757,1.9830111306385465,9.06815e-05,55.836,2.2572537174721186,0.00016404,60.625,2.697795501491852,9.31051e-06,69.151,3.2459240290226195,0.000122059,73.633,4.007717371897875,8.10246e-05,84.666,5.3176522049634,5.72802e-05,103.342,8.0
csd_1761207400,2025-10-23,08:16:43,1.21263e-05,52.017,1.999934908546508,4.9789e-05,56.077,2.273492100371747,0.00010836,60.545,2.692929768189121,6.09917e-06,68.814,3.195864126692678,0.000110723,73.628,4.007123727905731,0.000109223,84.875,5.345135237272581,6.85908e-05,103.555,8.0
csd_1761208146,2025-10-23,08:29:09,1.15196e-05,52.28,2.017653345724907,3.08e-05,56.077,2.273492100371747,7.86413e-05,60.394,2.683745696580216,4.31312e-06,68.814,3.195864126692678,8.81582e-05,73.752,4.021846098910909,0.000112085,84.821,5.3373514009609675,8.96582e-05,103.29,7.999567564649356
csd_1761209087,2025-10-23,08:44:50,7.91438e-06,52.194,2.0118587360594797,2.37783e-05,55.915,2.2625766728624535,5.5153e-05,60.32,2.6792448932751896,3.11086e-06,68.816,3.1959857700252465,6.30492e-05,73.692,4.014722371005177,8.09173e-05,84.716,5.3235886448848415,9.06402e-05,103.248,7.993513469740323
csd_1761209752,2025-10-23,08:55:55,6.04099e-06,52.456,2.029512081784387,1.95775e-05,56.16,2.279084572490706,4.01853e-05,60.396,2.683867339912784,2.40343e-06,68.949,3.2114383269312836,4.88525e-05,73.505,3.989244558258642,6.77974e-05,84.554,5.3043545795393685,8.56404e-05,103.248,7.993513469740323
