file,date,time,O8+_beam_current,O8+_batman_current,O8+_mq,O7+_beam_current,O7+_batman_current,O7+_mq,O6+_beam_current,O6+_batman_current,O6+_mq,O5+_beam_current,O5+_batman_current,O5+_mq,O4+_beam_current,O4+_batman_current,O4+_mq,O3+_beam_current,O3+_batman_current,O3+_mq,O2+_beam_current,O2+_batman_current,O2+_mq
csd_1789261201,2026-09-13,01:00:07,0.000176425,52.671,2.043998605947955,0.000277182,56.977,2.354716588663546,4.18821e-06,60.598,2.6961533165021803,4.38687e-06,65.586,2.9995317879274728,3.28174e-06,76.103,4.30097750401714,2.63479e-06,86.412,5.566686281919777,7.20076e-05,100.154,7.547528478108297
csd_1789263025,2026-09-13,01:30:31,7.58611e-05,52.589,2.0384735130111524,0.000219193,56.901,2.347207488299532,2.83941e-06,60.451,2.6872125315584117,4.52074e-06,65.522,2.995639201285288,4.34556e-06,75.928,4.280199964292091,2.28161e-06,86.367,5.560199751660099,9.19244e-05,99.933,7.515672407277439
csd_1789265924,2026-09-13,02:18:49,4.61095e-05,52.586,2.0382713754646837,0.000180672,56.898,2.3469110764430576,2.00313e-06,60.524,2.691652513197154,0.000188549,70.092,3.406572769953051,4.88892e-06,75.924,4.279725049098376,2.23264e-06,86.416,5.567262862387302,9.94583e-05,100.113,7.541618528316147
csd_1789266227,2026-09-13,02:23:53,5.33352e-05,52.585,2.038203996282528,0.000169331,56.978,2.3548153926157047,1.64428e-06,60.446,2.686908423226991,0.000158245,70.09,3.406231327358088,4.45366e-06,75.922,4.279487591501518,2.1302e-06,86.36,5.559190735841927,0.000109996,99.972,7.521294066835825
csd_1789266468,2026-09-13,02:27:54,7.39084e-05,52.585,2.038203996282528,0.000184631,56.978,2.3548153926157047,1.6672e-06,60.523,2.69159169153087,3.15863e-06,65.517,2.995335092953867,3.86529e-06,75.922,4.279487591501518,1.96888e-06,86.36,5.559190735841927,9.57413e-05,100.018,7.5279247422123845
csd_1789266713,2026-09-13,02:31:59,0.000108498,52.585,2.038203996282528,0.000233676,56.978,2.3548153926157047,1.8571e-06,60.523,2.69159169153087,3.17674e-06,65.517,2.995335092953867,3.35022e-06,75.983,4.286730048205678,1.73003e-06,86.307,5.551551044647196,9.0911e-05,99.925,7.514519246342385
csd_1789267028,2026-09-13,02:37:14,5.72666e-05,52.585,2.038203996282528,0.000194381,56.978,2.3548153926157047,2.20576e-06,60.446,2.686908423226991,4.19867e-06,65.446,2.991016754647693,4.60421e-06,75.922,4.279487591501518,2.05973e-06,86.467,5.57461426334827,0.000122519,100.11,7.541186092965502
csd_1789267281,2026-09-13,02:41:27,4.86509e-05,52.582,2.0380018587360595,0.000181385,56.975,2.3545189807592304,1.95162e-06,60.52,2.6914092265320178,4.03707e-06,65.443,2.990834289648841,4.7576e-06,75.918,4.279012676307803,2.09906e-06,86.356,5.558614155374399,0.000104602,100.013,7.527204016627977
csd_1789267565,2026-09-13,02:46:11,5.71031e-05,52.585,2.038203996282528,0.000175562,56.897,2.346812272490899,1.58287e-06,60.523,2.69159169153087,3.41956e-06,65.517,2.995335092953867,4.18282e-06,75.983,4.286730048205678,1.94709e-06,86.414,5.56697457215354,0.000108739,99.972,7.521294066835825
csd_1789267763,2026-09-13,02:49:29,6.94203e-05,52.582,2.0380018587360595,0.000193764,56.975,2.3545189807592304,1.52344e-06,60.52,2.6914092265320178,3.07401e-06,65.513,2.995091806288731,3.9035e-06,75.918,4.279012676307803,1.88228e-06,86.41,5.566397991686012,0.000103861,100.059,7.533834692004534
csd_1789267998,2026-09-13,02:53:24,6.74944e-05,52.587,2.03833875464684,0.000189428,56.9,2.3471086843473734,1.54325e-06,60.526,2.6917741565297226,3.03467e-06,65.52,2.9955175579527196,3.89812e-06,75.926,4.279962506695234,1.95473e-06,86.418,5.567551152621067,0.000106488,100.023,7.5286454677967924
csd_1789268291,2026-09-13,02:58:17,5.51108e-05,52.583,2.0380692379182155,0.000184095,56.895,2.3466146645865837,1.97596e-06,60.445,2.686847601560707,3.89756e-06,65.444,2.990895111315125,4.4712e-06,75.92,4.27925013390466,2.01841e-06,86.412,5.566686281919777,0.000105382,99.969,7.520861631485179
csd_1789268561,2026-09-13,03:02:46,6.19966e-05,52.585,2.038203996282528,0.000201093,56.897,2.346812272490899,1.79993e-06,60.446,2.686908423226991,0.000174936,70.09,3.406231327358088,4.42055e-06,75.922,4.279487591501518,1.87521e-06,86.414,5.56697457215354,5.14476e-06,101.305,7.713439507639151
csd_1789268883,2026-09-13,03:08:08,6.48309e-05,52.674,2.044200743494424,0.000187803,56.979,2.3549141965678624,1.44844e-06,60.448,2.6870300665595592,3.16062e-06,65.518,2.9953959146201514,3.93096e-06,75.924,4.279725049098376,1.85908e-06,86.363,5.559623171192571,3.86615e-06,101.49,7.740106354262267
csd_1789269130,2026-09-13,03:12:15,7.06473e-05,52.581,2.0379344795539036,0.000198287,56.892,2.3463182527301094,1.45297e-06,60.518,2.691287583199449,3.04883e-06,65.441,2.9907126463162728,3.9853e-06,75.917,4.278893947509374,1.88682e-06,86.407,5.5659655563353665,0.000113619,100.01,7.526771581277331
csd_1789269371,2026-09-13,03:16:16,7.1136e-05,52.586,2.0382713754646837,0.000193984,56.979,2.3549141965678624,1.50957e-06,60.448,2.6870300665595592,3.14477e-06,65.448,2.991138397980261,4.19273e-06,75.924,4.279725049098376,1.93549e-06,86.416,5.567262862387302,0.000109368,99.974,7.521582357069589
