Run #,Spectral Temp,Error,Sum Counts,Livetimes,Coeff A,Coeff B,Coeff C,Coeff D
122_105_102_270_18_1000,16.380133604308003,0.27663672233854336,43.28202304088189,298.53,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_120_270A_18_1000,9.030700603959176,0.32214324277139605,7.339578439775526,298.92,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_125_270A_18_1000,8.903933697428943,0.32770025363817745,4.897778526076415,298.32,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_130_270A_18_1000,10.282923437147852,0.4713263057076592,2.465387229922096,297.39,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
122_105_135_270A_18_1000,13.614023753277012,0.7774267150091706,0.9392646360466262,297.3,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
