file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
119_101_74.33_270A.mca,600.0,05/12/2015 11:35:08,15.495793,14.27 x 1.0859,793579,838514,1024,121.30222169757411,123.39887013554326,249.72193852318495,242,0.9728210586770593,0.003667208952978687,0.060809284057509204,-0.009894215906126413,0.00010675188406322604,0.009894215906126413,0.00010675188406322604,3.323991154172038,0.020295667868251363,101.0691508541681,1.090467640560805,1-sigma propagated from slope standard error,119_101_74.33_270A_analysis.png,ok
120.61_102.99_93.48_270.mca,600.0,05/12/2015 10:31:30,15.495793,14.27 x 1.0859,663492,740473,1024,121.30222169757411,123.39887013554326,249.72193852318495,242,0.9750171433625687,0.0048932389111375225,0.07024255050938617,-0.011934291175913549,0.0001233121672866878,0.011934291175913549,0.0001233121672866878,3.382154465064048,0.023444108863526835,83.7921570087259,0.8657902115901303,1-sigma propagated from slope standard error,120.61_102.99_93.48_270_analysis.png,ok
120_102_84.33_270.mca,600.0,05/12/2015 11:54:34,15.495793,14.27 x 1.0859,580214,620113,1024,105.05319630331314,117.63308693112808,249.72193852318495,253,0.9738661660925236,0.004735348905194575,0.06908748634145684,-0.010973165724576774,0.00011346110318317728,0.010973165724576774,0.00011346110318317728,3.1077486808368473,0.021288073805119146,91.13140410886935,0.94228683903551,1-sigma propagated from slope standard error,120_102_84.33_270_analysis.png,ok
122_105_102_270.mca,600.0,05/12/2015 10:11:39,15.495793,14.27 x 1.0859,563243,627184,1024,104.00487208432857,112.39146583620519,248.1494521947081,260,0.9768175966895404,0.006876587426200914,0.08324598672292731,-0.013682607119358247,0.00013122950636104162,0.013682607119358247,0.00013122950636104162,3.3220708806284573,0.02421358677036538,73.0854866529927,0.7009608806248155,1-sigma propagated from slope standard error,122_105_102_270_analysis.png,ok
122_105_102_270_2.mca,600.0,05/12/2015 13:45:33,15.495793,14.27 x 1.0859,507185,561425,1024,107.1498447412823,113.96395216468206,249.19777641369265,259,0.9720490435300119,0.008182352054160055,0.0908076425507904,-0.013611729343330397,0.00014397960958281223,0.013611729343330397,0.00014397960958281223,3.252366421625724,0.026745908964174666,73.46605084312739,0.7770954778179919,1-sigma propagated from slope standard error,122_105_102_270_2_analysis.png,ok
122_106_109_270.mca,600.0,05/12/2015 13:02:18,15.495793,14.27 x 1.0859,413619,467707,1024,91.94914356600592,102.4323857558517,249.72193852318495,282,0.9694785887787118,0.01677605971592642,0.12998418639933598,-0.01710765207649371,0.00018140305125670435,0.01710765207649371,0.00018140305125670435,3.281282834678329,0.03286544984814845,58.453374871588714,0.619817407470413,1-sigma propagated from slope standard error,122_106_109_270_analysis.png,ok
